block_number,sibling_cnt
12865000,0
12865001,0
12865002,1
12865003,0
12865004,0
12865005,0
12865006,0
12865007,0
12865008,0
12865009,0
12865010,0
12865011,0
12865012,0
12865013,0
12865014,0
12865015,0
12865016,0
12865017,0
12865018,0
12865019,0
12865020,0
12865021,0
12865022,0
12865023,0
12865024,0
12865025,0
12865026,0
12865027,0
12865028,1
12865029,0
12865030,0
12865031,1
12865032,0
12865033,0
12865034,0
12865035,0
12865036,0
12865037,0
12865038,0
12865039,0
12865040,0
12865041,0
12865042,0
12865043,0
12865044,0
12865045,0
12865046,0
12865047,0
12865048,0
12865049,0
12865050,0
12865051,0
12865052,0
12865053,0
12865054,0
12865055,0
12865056,0
12865057,0
12865058,0
12865059,1
12865060,0
12865061,0
12865062,0
12865063,0
12865064,0
12865065,0
12865066,0
12865067,0
12865068,0
12865069,0
12865070,0
12865071,0
12865072,0
12865073,0
12865074,0
12865075,0
12865076,0
12865077,0
12865078,0
12865079,0
12865080,0
12865081,0
12865082,0
12865083,0
12865084,0
12865085,0
12865086,0
12865087,0
12865088,0
12865089,0
12865090,0
12865091,0
12865092,0
12865093,0
12865094,0
12865095,0
12865096,0
12865097,0
12865098,0
12865099,0
12865100,0
12865101,0
12865102,0
12865103,0
12865104,0
12865105,0
12865106,0
12865107,0
12865108,0
12865109,0
12865110,0
12865111,0
12865112,0
12865113,1
12865114,0
12865115,0
12865116,0
12865117,0
12865118,0
12865119,0
12865120,0
12865121,0
12865122,0
12865123,0
12865124,0
12865125,1
12865126,0
12865127,0
12865128,0
12865129,0
12865130,0
12865131,0
12865132,0
12865133,0
12865134,0
12865135,0
12865136,0
12865137,0
12865138,0
12865139,0
12865140,0
12865141,0
12865142,0
12865143,0
12865144,0
12865145,0
12865146,0
12865147,0
12865148,0
12865149,0
12865150,0
12865151,0
12865152,1
12865153,0
12865154,0
12865155,0
12865156,0
12865157,0
12865158,0
12865159,0
12865160,0
12865161,0
12865162,0
12865163,0
12865164,0
12865165,0
12865166,0
12865167,0
12865168,0
12865169,0
12865170,0
12865171,0
12865172,0
12865173,0
12865174,0
12865175,0
12865176,0
12865177,0
12865178,0
12865179,0
12865180,0
12865181,0
12865182,0
12865183,0
12865184,0
12865185,0
12865186,0
12865187,0
12865188,0
12865189,0
12865190,0
12865191,0
12865192,0
12865193,0
12865194,0
12865195,0
12865196,1
12865197,0
12865198,0
12865199,0
12865200,0
12865201,0
12865202,0
12865203,0
12865204,0
12865205,1
12865206,0
12865207,0
12865208,0
12865209,0
12865210,0
12865211,0
12865212,0
12865213,0
12865214,0
12865215,0
12865216,0
12865217,0
12865218,0
12865219,0
12865220,0
12865221,0
12865222,0
12865223,0
12865224,0
12865225,0
12865226,0
12865227,0
12865228,0
12865229,0
12865230,0
12865231,0
12865232,0
12865233,0
12865234,0
12865235,0
12865236,0
12865237,0
12865238,0
12865239,0
12865240,1
12865241,0
12865242,0
12865243,1
12865244,0
12865245,1
12865246,0
12865247,0
12865248,1
12865249,0
12865250,0
12865251,0
12865252,0
12865253,0
12865254,0
12865255,0
12865256,0
12865257,0
12865258,0
12865259,0
12865260,0
12865261,0
12865262,0
12865263,0
12865264,0
12865265,0
12865266,0
12865267,0
12865268,0
12865269,0
12865270,0
12865271,0
12865272,0
12865273,0
12865274,0
12865275,0
12865276,0
12865277,0
12865278,0
12865279,0
12865280,0
12865281,0
12865282,0
12865283,0
12865284,0
12865285,0
12865286,0
12865287,0
12865288,0
12865289,0
12865290,0
12865291,0
12865292,0
12865293,0
12865294,0
12865295,0
12865296,0
12865297,0
12865298,0
12865299,0
12865300,0
12865301,0
12865302,0
12865303,0
12865304,0
12865305,1
12865306,0
12865307,0
12865308,0
12865309,0
12865310,0
12865311,0
12865312,0
12865313,0
12865314,0
12865315,0
12865316,0
12865317,0
12865318,0
12865319,0
12865320,0
12865321,0
12865322,0
12865323,0
12865324,0
12865325,0
12865326,0
12865327,0
12865328,0
12865329,0
12865330,0
12865331,0
12865332,0
12865333,0
12865334,0
12865335,0
12865336,0
12865337,0
12865338,0
12865339,0
12865340,0
12865341,0
12865342,0
12865343,0
12865344,0
12865345,0
12865346,0
12865347,0
12865348,0
12865349,0
12865350,0
